mol,Target,Name,Degradation Identification new 1,Article_DOI,handle1,handle2,linker,atoms_NAF,Compound ID,Uniprot,E3 Ligase,Uniprot_E3,E3_PDB,Closest_E3,target_PDB,Closest_target,DC50_nM_,Dmax_prc_,Assay_DC50_Dmax_,Percent_degradation_prc_,Assay_Percent_degradation_,IC50_nM_Protac_to_Target_,Assay_Protac_to_Target_IC50_,EC50_nM_Protac_to_Target_,Assay_Protac_to_Target_EC50_,Kd_nM_Protac_to_Target_,Assay_Protac_to_Target_Kd_,Ki_nM_Protac_to_Target_,Assay_Protac_to_Target_Ki_,delta_G_kcal_mol_Protac_to_Target_,delta_H_kcal_mol_Protac_to_Target_,Tdelta_S_kcal_mol_Protac_to_Target_,Assay_Protac_to_Target_G_H_TS_,kon_1_Ms_Protac_to_Target_,koff_1_s_Protac_to_Target_,t1_2_s_Protac_to_Target_,Assay_Protac_to_Target_kon_koff_t1_2_,IC50_nM_Protac_to_E3_,Assay_Protac_to_E3_IC50_,EC50_nM_Protac_to_E3_,Assay_Protac_to_E3_EC50_,Kd_nM_Protac_to_E3_,Assay_Protac_to_E3_Kd_,Ki_nM_Protac_to_E3_,Assay_Protac_to_E3_Ki_,delta_G_kcal_mol_Protac_to_E3_,delta_H_kcal_mol_Protac_to_E3_,Tdelta_S_kcal_mol_Protac_to_E3_,Assay_Protac_to_E3_G_H_TS_,kon_1_Ms_Protac_to_E3_,koff_1_s_Protac_to_E3_,t1_2_s_Protac_to_E3_,Assay_Protac_to_E3_kon_koff_t1_2_,IC50_nM_Ternary_complex_,Assay_Ternary_complex_IC50_,EC50_nM_Ternary_complex_,Assay_Ternary_complex_EC50_,Kd_nM_Ternary_complex_,Assay_Ternary_complex_Kd_,Ki_nM_Ternary_complex_,Assay_Ternary_complex_Ki_,delta_G_kcal_mol_Ternary_complex_,delta_H_kcal_mol_Ternary_complex_,Tdelta_S_kcal_mol_Ternary_complex_,Assay_Ternary_complex_G_H_TS_,kon_1_Ms_Ternary_complex_,koff_1_s_Ternary_complex_,t1_2_s_Ternary_complex_,Assay_Ternary_complex_kon_koff_t1_2_,IC50_nM_Cellular_activities_,Assay_Cellular_activities_IC50_,EC50_nM_Cellular_activities_,Assay_Cellular_activities_EC50_,GI50_nM_Cellular_activities_,Assay_Cellular_activities_GI50_,ED50_nM_Cellular_activities_,Assay_Cellular_activities_ED50_,GR50_nM_Cellular_activities_,Assay_Cellular_activities_GR50_,PAMPA_Papp_nm_s_Permeability_,Assay_Permeability_PAMPA_Papp_,Caco_2_A2B_Papp_nm_s_Permeability_,Assay_Permeability_Caco_2_A2B_Papp_,Caco_2_B2A_Papp_nm_s_Permeability_,Assay_Permeability_Caco_2_B2A_Papp_,Molecular_Weight,Exact_Mass,XLogP3,Heavy_Atom_Count,Ring_Count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Rotatable_Bond_Count,Topological_Polar_Surface_Area,Molecular_Formula,InChI,InChI_Key
C1CC(NC(C1N1C(c2cccc(c2C1=O)NCCOCCNc1cccc2C(N(C3CCC(NC3=O)=O)C(c12)=O)=O)=O)=O)=O,CRBN,,Good,10.1021/acschembio.8b00693,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,CCOCC,0,65,Q96SW2,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,"4TZ4,6H0G,7BQU",6H0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.587,616.1917765,0.95,45,6,11,4,10,200.39,C30H28N6O9,"InChI=1S/C30H28N6O9/c37-21-9-7-19(25(39)33-21)35-27(41)15-3-1-5-17(23(15)29(35)43)31-11-13-45-14-12-32-18-6-2-4-16-24(18)30(44)36(28(16)42)20-8-10-22(38)34-26(20)40/h1-6,19-20,31-32H,7-14H2,(H,33,37,39)(H,34,38,40)",IZVFNHSOUDVZCB-UHFFFAOYSA-N
C1CC(NC(C1N1C(c2cccc(c2C1=O)OCCOCCOCCOc1cccc2C(N(C3CCC(NC3=O)=O)C(c12)=O)=O)=O)=O)=O,CRBN,,Good,10.1021/acschembio.8b00693,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,C(COCCOCCO)O,0,66,Q96SW2,CRBN,Q96SW2,7BQU,7BQU,7BQU,7BQU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.608,662.1860224,-0.33,48,6,12,2,13,204.02,C32H30N4O12,"InChI=1S/C32H30N4O12/c37-23-9-7-19(27(39)33-23)35-29(41)17-3-1-5-21(25(17)31(35)43)47-15-13-45-11-12-46-14-16-48-22-6-2-4-18-26(22)32(44)36(30(18)42)20-8-10-24(38)34-28(20)40/h1-6,19-20H,7-16H2,(H,33,37,39)(H,34,38,40)",VSGMSROXNAZJTQ-UHFFFAOYSA-N
C1CC(NC(C1N1C(c2ccc(cc2C1=O)C(NCCOCCOCCNC(c1ccc2C(N(C3CCC(NC3=O)=O)C(c2c1)=O)=O)=O)=O)=O)=O)=O,CRBN,,Bad,10.1021/acschembio.8b00693,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,C(COCCOCCNC=O)NC=O,0,67,Q96SW2,CRBN,Q96SW2,7BQU,7BQU,7BQU,7BQU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.66,716.2078205,-1.72,52,6,12,4,13,243.76,C34H32N6O12,"InChI=1S/C34H32N6O12/c41-25-7-5-23(29(45)37-25)39-31(47)19-3-1-17(15-21(19)33(39)49)27(43)35-9-11-51-13-14-52-12-10-36-28(44)18-2-4-20-22(16-18)34(50)40(32(20)48)24-6-8-26(42)38-30(24)46/h1-4,15-16,23-24H,5-14H2,(H,35,43)(H,36,44)(H,37,41,45)(H,38,42,46)",KDROKDLIVCPLOE-UHFFFAOYSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(Nc3ccc(cc3)OCCOCCOCCOCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD2,ARV-825,Good,10.1016/j.chembiol.2015.05.009,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,CCOCCOCCOCCOc1ccc(cc1)NC=O,1,68,P25440,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,4A9J,4A9J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.449,922.2875238,4.81,65,8,15,3,19,204.67,C46H47ClN8O9S,"InChI=1S/C46H47ClN8O9S/c1-26-27(2)65-46-39(26)41(29-7-9-30(47)10-8-29)50-35(42-53-52-28(3)54(42)46)25-38(57)49-31-11-13-32(14-12-31)64-24-23-63-22-21-62-20-19-61-18-17-48-34-6-4-5-33-40(34)45(60)55(44(33)59)36-15-16-37(56)51-43(36)58/h4-14,35-36,48H,15-25H2,1-3H3,(H,49,57)(H,51,56,58)/t35-,36?/m0/s1",RWLOGRLTDKDANT-TYIYNAFKSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(Nc3ccc(cc3)OCCOCCOCCOCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD2,ARV-825,Good,10.1021/acs.jmedchem.8b00506,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,CCOCCOCCOCCOc1ccc(cc1)NC=O,1,69,P25440,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,4A9J,4A9J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,Inhibit growth of MV4;11/MOLM-13/RS4;11 cells,,,,,,,,,,,,,,,923.449,922.2875238,4.81,65,8,15,3,19,204.67,C46H47ClN8O9S,"InChI=1S/C46H47ClN8O9S/c1-26-27(2)65-46-39(26)41(29-7-9-30(47)10-8-29)50-35(42-53-52-28(3)54(42)46)25-38(57)49-31-11-13-32(14-12-31)64-24-23-63-22-21-62-20-19-61-18-17-48-34-6-4-5-33-40(34)45(60)55(44(33)59)36-15-16-37(56)51-43(36)58/h4-14,35-36,48H,15-25H2,1-3H3,(H,49,57)(H,51,56,58)/t35-,36?/m0/s1",RWLOGRLTDKDANT-TYIYNAFKSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(Nc3ccc(cc3)OCCOCCOCCOCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,ARV-825,Good,10.1021/acs.jmedchem.8b00506,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,CCOCCOCCOCCOc1ccc(cc1)NC=O,1,70,O60885,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,"4C67,6YQN",6YQN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,Inhibit growth of MV4;11/MOLM-13/RS4;11 cells,,,,,,,,,,,,,,,923.449,922.2875238,4.81,65,8,15,3,19,204.67,C46H47ClN8O9S,"InChI=1S/C46H47ClN8O9S/c1-26-27(2)65-46-39(26)41(29-7-9-30(47)10-8-29)50-35(42-53-52-28(3)54(42)46)25-38(57)49-31-11-13-32(14-12-31)64-24-23-63-22-21-62-20-19-61-18-17-48-34-6-4-5-33-40(34)45(60)55(44(33)59)36-15-16-37(56)51-43(36)58/h4-14,35-36,48H,15-25H2,1-3H3,(H,49,57)(H,51,56,58)/t35-,36?/m0/s1",RWLOGRLTDKDANT-TYIYNAFKSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(Nc3ccc(cc3)OCCOCCOCCOCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD2,ARV-825,Good,10.1021/acs.jmedchem.6b01912,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,CCOCCOCCOCCOc1ccc(cc1)NC=O,1,71,P25440,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,4A9J,4A9J,6,83,Degradation of BRD2 in HeLa cells after 24 h treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Inhibit proliferation of MV4;11/HL60 cells,,,,,,,,,,,,,923.449,922.2875238,4.81,65,8,15,3,19,204.67,C46H47ClN8O9S,"InChI=1S/C46H47ClN8O9S/c1-26-27(2)65-46-39(26)41(29-7-9-30(47)10-8-29)50-35(42-53-52-28(3)54(42)46)25-38(57)49-31-11-13-32(14-12-31)64-24-23-63-22-21-62-20-19-61-18-17-48-34-6-4-5-33-40(34)45(60)55(44(33)59)36-15-16-37(56)51-43(36)58/h4-14,35-36,48H,15-25H2,1-3H3,(H,49,57)(H,51,56,58)/t35-,36?/m0/s1",RWLOGRLTDKDANT-TYIYNAFKSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(Nc3ccc(cc3)OCCOCCOCCOCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,ARV-825,Good,10.1016/j.chembiol.2015.05.009,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,CCOCCOCCOCCOc1ccc(cc1)NC=O,1,72,O60885,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,"4C67,6YQN",6YQN,1,,Degradation of BRD4 in Namalwa/CA-46 cells after overnight treatment,,,,,,,90/28,Kd of BRD4 BD1/2 was determined with BROMOscan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.449,922.2875238,4.81,65,8,15,3,19,204.67,C46H47ClN8O9S,"InChI=1S/C46H47ClN8O9S/c1-26-27(2)65-46-39(26)41(29-7-9-30(47)10-8-29)50-35(42-53-52-28(3)54(42)46)25-38(57)49-31-11-13-32(14-12-31)64-24-23-63-22-21-62-20-19-61-18-17-48-34-6-4-5-33-40(34)45(60)55(44(33)59)36-15-16-37(56)51-43(36)58/h4-14,35-36,48H,15-25H2,1-3H3,(H,49,57)(H,51,56,58)/t35-,36?/m0/s1",RWLOGRLTDKDANT-TYIYNAFKSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(Nc3ccc(cc3)OCCOCCOCCOCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,ARV-825,Good,10.1016/j.ejmech.2019.01.023,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,CCOCCOCCOCCOc1ccc(cc1)NC=O,1,73,O60885,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,"4C67,6YQN",6YQN,0.57,,Degradation of BRD4 in 22RV1 cells after 24 h treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.449,922.2875238,4.81,65,8,15,3,19,204.67,C46H47ClN8O9S,"InChI=1S/C46H47ClN8O9S/c1-26-27(2)65-46-39(26)41(29-7-9-30(47)10-8-29)50-35(42-53-52-28(3)54(42)46)25-38(57)49-31-11-13-32(14-12-31)64-24-23-63-22-21-62-20-19-61-18-17-48-34-6-4-5-33-40(34)45(60)55(44(33)59)36-15-16-37(56)51-43(36)58/h4-14,35-36,48H,15-25H2,1-3H3,(H,49,57)(H,51,56,58)/t35-,36?/m0/s1",RWLOGRLTDKDANT-TYIYNAFKSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(Nc3ccc(cc3)OCCOCCOCCOCCNc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,ARV-825,Good,10.1021/acs.jmedchem.6b01912,C1CC(NC(C1N1C(c2cccc(c2C1=O)N)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,CCOCCOCCOCCOc1ccc(cc1)NC=O,1,74,O60885,CRBN,Q96SW2,"4TZ4,6H0G,7BQU",6H0G,"4C67,6YQN",6YQN,0.6,97/100,Degradation of BRD4 short/long in HeLa cells after 24 h treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Inhibit proliferation of MV4;11/HL60 cells,,,,,,,,,,,,,923.449,922.2875238,4.81,65,8,15,3,19,204.67,C46H47ClN8O9S,"InChI=1S/C46H47ClN8O9S/c1-26-27(2)65-46-39(26)41(29-7-9-30(47)10-8-29)50-35(42-53-52-28(3)54(42)46)25-38(57)49-31-11-13-32(14-12-31)64-24-23-63-22-21-62-20-19-61-18-17-48-34-6-4-5-33-40(34)45(60)55(44(33)59)36-15-16-37(56)51-43(36)58/h4-14,35-36,48H,15-25H2,1-3H3,(H,49,57)(H,51,56,58)/t35-,36?/m0/s1",RWLOGRLTDKDANT-TYIYNAFKSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(NCCCCNC(COc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,dBET1,Good,10.1021/acs.jmedchem.6b01816,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,C(CCNC(CO)=O)CNC=O,1,75,O60885,CRBN,Q96SW2,7BQU,7BQU,"4C67,6YQN",6YQN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.8,Inhibit growth of RS4;11/MOLM-13 cells,,,,,,,,,,,,,,,785.283,784.2194442,3.22,55,7,12,3,12,194.05,C38H37ClN8O7S,"InChI=1S/C38H37ClN8O7S/c1-19-20(2)55-38-31(19)33(22-9-11-23(39)12-10-22)42-25(34-45-44-21(3)46(34)38)17-29(49)40-15-4-5-16-41-30(50)18-54-27-8-6-7-24-32(27)37(53)47(36(24)52)26-13-14-28(48)43-35(26)51/h6-12,25-26H,4-5,13-18H2,1-3H3,(H,40,49)(H,41,50)(H,43,48,51)/t25-,26?/m0/s1",LKEGXJXRNBALBV-PMCHYTPCSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(NCCCCNC(COc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,dBET1,Good,10.1021/acs.jmedchem.8b00506,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,C(CCNC(CO)=O)CNC=O,1,76,O60885,CRBN,Q96SW2,7BQU,7BQU,"4C67,6YQN",6YQN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Inhibit growth of MV4;11/MOLM-13/RS4;11 cells,,,,,,,,,,,,,,,785.283,784.2194442,3.22,55,7,12,3,12,194.05,C38H37ClN8O7S,"InChI=1S/C38H37ClN8O7S/c1-19-20(2)55-38-31(19)33(22-9-11-23(39)12-10-22)42-25(34-45-44-21(3)46(34)38)17-29(49)40-15-4-5-16-41-30(50)18-54-27-8-6-7-24-32(27)37(53)47(36(24)52)26-13-14-28(48)43-35(26)51/h6-12,25-26H,4-5,13-18H2,1-3H3,(H,40,49)(H,41,50)(H,43,48,51)/t25-,26?/m0/s1",LKEGXJXRNBALBV-PMCHYTPCSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(NCCCCNC(COc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,dBET1,Good,10.1021/acs.orglett.9b01326,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,C(CCNC(CO)=O)CNC=O,1,77,O60885,CRBN,Q96SW2,7BQU,7BQU,"4C67,6YQN",6YQN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,Inhibit proliferation of MM.1S/MV-4-11/MDA-MB-468 cells,,,,,,,,,,,,,,,785.283,784.2194442,3.22,55,7,12,3,12,194.05,C38H37ClN8O7S,"InChI=1S/C38H37ClN8O7S/c1-19-20(2)55-38-31(19)33(22-9-11-23(39)12-10-22)42-25(34-45-44-21(3)46(34)38)17-29(49)40-15-4-5-16-41-30(50)18-54-27-8-6-7-24-32(27)37(53)47(36(24)52)26-13-14-28(48)43-35(26)51/h6-12,25-26H,4-5,13-18H2,1-3H3,(H,40,49)(H,41,50)(H,43,48,51)/t25-,26?/m0/s1",LKEGXJXRNBALBV-PMCHYTPCSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(NCCCCNC(COc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,dBET1,Good,10.1126/science.aab1433,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,C(CCNC(CO)=O)CNC=O,1,78,O60885,CRBN,Q96SW2,7BQU,7BQU,"4C67,6YQN",6YQN,430,,Degradation of BRD4 in SUM149 cells after 18 h treatment,,,,,,,06-Jul,Kd of BRD4 BD1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.283,784.2194442,3.22,55,7,12,3,12,194.05,C38H37ClN8O7S,"InChI=1S/C38H37ClN8O7S/c1-19-20(2)55-38-31(19)33(22-9-11-23(39)12-10-22)42-25(34-45-44-21(3)46(34)38)17-29(49)40-15-4-5-16-41-30(50)18-54-27-8-6-7-24-32(27)37(53)47(36(24)52)26-13-14-28(48)43-35(26)51/h6-12,25-26H,4-5,13-18H2,1-3H3,(H,40,49)(H,41,50)(H,43,48,51)/t25-,26?/m0/s1",LKEGXJXRNBALBV-PMCHYTPCSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(NCCCCNC(COc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,dBET1,Good,10.1038/s41589-018-0055-y,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,C(CCNC(CO)=O)CNC=O,1,79,O60885,CRBN,Q96SW2,7BQU,7BQU,"4C67,6YQN",6YQN,1000,,Degradation of BRD4 BD1/2 assessed by EGFP/mCherry reporter assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.283,784.2194442,3.22,55,7,12,3,12,194.05,C38H37ClN8O7S,"InChI=1S/C38H37ClN8O7S/c1-19-20(2)55-38-31(19)33(22-9-11-23(39)12-10-22)42-25(34-45-44-21(3)46(34)38)17-29(49)40-15-4-5-16-41-30(50)18-54-27-8-6-7-24-32(27)37(53)47(36(24)52)26-13-14-28(48)43-35(26)51/h6-12,25-26H,4-5,13-18H2,1-3H3,(H,40,49)(H,41,50)(H,43,48,51)/t25-,26?/m0/s1",LKEGXJXRNBALBV-PMCHYTPCSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(NCCCCNC(COc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,dBET1,Good,10.1002/anie.202108848,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,C(CCNC(CO)=O)CNC=O,1,80,O60885,CRBN,Q96SW2,7BQU,7BQU,"4C67,6YQN",6YQN,2.9,,Degradation of BRD4 in MV4-11 cells after 12/24 h treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,Compounds were administered at 10000 nM and incubated for 2 h,,,785.283,784.2194442,3.22,55,7,12,3,12,194.05,C38H37ClN8O7S,"InChI=1S/C38H37ClN8O7S/c1-19-20(2)55-38-31(19)33(22-9-11-23(39)12-10-22)42-25(34-45-44-21(3)46(34)38)17-29(49)40-15-4-5-16-41-30(50)18-54-27-8-6-7-24-32(27)37(53)47(36(24)52)26-13-14-28(48)43-35(26)51/h6-12,25-26H,4-5,13-18H2,1-3H3,(H,40,49)(H,41,50)(H,43,48,51)/t25-,26?/m0/s1",LKEGXJXRNBALBV-PMCHYTPCSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(NCCCCNC(COc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,dBET1,Good,10.1002/anie.202108848,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,C(CCNC(CO)=O)CNC=O,1,81,O60885,CRBN,Q96SW2,7BQU,7BQU,"4C67,6YQN",6YQN,230,,Degradation of BRD4 in HD-MB03 cells after 12 h treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.283,784.2194442,3.22,55,7,12,3,12,194.05,C38H37ClN8O7S,"InChI=1S/C38H37ClN8O7S/c1-19-20(2)55-38-31(19)33(22-9-11-23(39)12-10-22)42-25(34-45-44-21(3)46(34)38)17-29(49)40-15-4-5-16-41-30(50)18-54-27-8-6-7-24-32(27)37(53)47(36(24)52)26-13-14-28(48)43-35(26)51/h6-12,25-26H,4-5,13-18H2,1-3H3,(H,40,49)(H,41,50)(H,43,48,51)/t25-,26?/m0/s1",LKEGXJXRNBALBV-PMCHYTPCSA-N
Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](CC(NCCCCCCCCNC(COc3cccc4C(N(C5CCC(NC5=O)=O)C(c34)=O)=O)=O)=O)c3nnc(C)n3c2sc1C,BRD4,dBET6,Good,10.1038/s41589-018-0055-y,C1CC(NC(C1N1C(c2ccccc2C1=O)=O)=O)=O,Cc1c2C(c3ccc(cc3)[Cl])=N[C@@H](C)c3nnc(C)n3c2sc1C,C(CCCCNC(CO)=O)CCCNC=O,1,82,O60885,CRBN,Q96SW2,7BQU,7BQU,"4C67,6YQN",6YQN,10,,Degradation of BRD4 BD1/2 assessed by EGFP/mCherry reporter assay,,,,,,,,,,,,,,,,,,,800,Inhibition of CRBN by competition binding assay,,,,,,,,,,,,,,,1800/4100,Inhibition of CRBN in the presence of BRD4 BD1/2 by competition binding assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.391,840.2820445,5.02,59,7,12,3,16,194.05,C42H45ClN8O7S,"InChI=1S/C42H45ClN8O7S/c1-23-24(2)59-42-35(23)37(26-13-15-27(43)16-14-26)46-29(38-49-48-25(3)50(38)42)21-33(53)44-19-8-6-4-5-7-9-20-45-34(54)22-58-31-12-10-11-28-36(31)41(57)51(40(28)56)30-17-18-32(52)47-39(30)55/h10-16,29-30H,4-9,17-22H2,1-3H3,(H,44,53)(H,45,54)(H,47,52,55)/t29-,30?/m0/s1",JGQPZPLJOBHHBK-UFXYQILXSA-N
